rmsd 3,rmsd 1,pdb2,pdb1
0.643493,0.42467,1m5oC,1b7fA
0.796802,0.366879,1dfjI,2bnh
0.274938,0.319962,6pti,4pti
0.974002,0.448598,1yb1A,1e6wA
1.09739,0.52399,4wjk,2uzxB
0.782188,0.423993,6vsbA,6vxxA
0.927671,0.411415,1ymo,2m8k
0.853105,0.476244,1y0q,1u6b
